permno_year,publn_nr,mahal_dist
US0001011991,16873704,121.41806781512254
US0001011991,16874868,180.11273224272813
US0001011991,16874971,153.92873818768322
US0001011991,16877192,111.0998588469144
US0001011991,16879705,157.5970319739391
US0001011991,16879825,154.18832009339206
US0001011991,16880069,138.70117834366903
US0001011991,16890308,222.81302834040164
US0001011991,16895547,81.63669044936067
US0001011991,16904165,147.93563970009203
US0001011991,16914624,156.27462998701685
US0001001991,16918562,210.77283334400917
US0001001991,16918806,175.0117833548601
US0001011992,16920572,309.25142922461333
US0001011992,16920894,100.90003801240547
US0001011992,16923977,141.55286204229608
US0001011992,16932394,101.60679568686169
US0001011992,16932462,178.38724864024363
US0001011992,16933794,78.74098520608277
US0001011992,16939610,120.08267613481397
US0001011992,16953721,112.40166101163052
US0001011992,16957944,141.73868033604958
US0001011992,16973993,153.0753520950977
US0001001992,16976648,90.03374299743564
US0001011987,17051610,309.1284311217198
US0001011992,17163527,312.35802879224894
US0001001996,17191001,157.97261447402565
US0001001996,17195067,91.82114476652133
US0001001996,17204811,113.17746524983089
US0001001998,17322311,99.26944883328964
US0001001998,17334562,81.09993136359627
US0001001998,17366436,214.51680666287626
US0001011986,17555174,134.21302473674186
US0001011986,17557252,216.0813170855023
US0001011986,17558405,96.03048292229109
US0001011987,17559464,158.14211253344249
US0001001989,17577095,112.5408098232244
US0001002000,17645472,121.75505751342718
US0001002000,17645910,155.92943583011868
US0001002000,17646292,181.88317483707948
US0001001997,17656303,218.73509404754674
US0001002001,17656964,126.41304046370762
US0001002001,17663457,204.48866640929796
US0001002001,17665453,153.13695499711605
US0001002001,17666904,126.44996372935233
US0001002002,17677678,219.96127329110902
US0001002002,17678464,112.16806080159012
US0001002003,17686217,208.6766955265566
US0001002003,17690722,122.9722619164013
US0001002003,17691620,290.71567308375006
US0001002004,17698221,124.16355691050656
US0001002004,17698513,124.20431921664006
US0001002005,17701727,121.82984387084272
US0001011987,18143740,316.24188172432173
US0001011987,18144317,127.43980186676934
US0001011987,18144837,86.32510301776438
US0001011987,18144838,177.6203776082824
US0001001987,18144888,151.29795180924825
US0001001987,18144889,134.58910287324204
US0001011987,18145225,223.6230093883672
US0001011987,18146408,211.66635841526397
US0001011987,18146495,133.83800334475941
US0001001988,18151163,152.80811049513719
US0001011988,18154473,222.4394955356895
US0001011988,18154927,157.37252891593965
US0001011989,18158336,314.0357506929988
US0001001989,18158751,129.68052799817266
